pcm_Latn	sentiment
Akinnuoye-Agbaje's directorial debut na troubling coming-of-age story based on di directors own experience as a 'farmed out' Nigerian pikin for di UK durin a period of surgin xenophobia for di wake of di Windrush generation kom. Di look and feel of di film early moment present a setting and character dem so tey dem dey raw and realist dat one period wey person fit capture so tey dem don experience dem. Di pacing of di film for many ways dey reflect dis one. Sometimes e be like say e take almost frantic rate wey dey meaningful in a way wey e take dey capture di effect of somebody recalling dia life story wey dey important and traumatic moment - sometimes e dey make am hard to capture and appreciate di passage of time wey dey surplus film wey dey apun like dat one big minute wey dey identified as di same tins and tins wey dey compulsory pass one tins wey dey compulsory tins wey dey compulsory tins and tins wey dey compulsory tins wey dey compulsory tins wey dey compulsory tins dey compulsory tins wey tins dey compulsory tins wey tins dey compulsory tins dey compulsory tins wey tins dey compulsory tins dey compulsory tins dey compulsory tins dey compulsory tins dey compulsory tins dey compulsory tins dey compulsory tins dey compulsory tins dey compulsory tins dey compulsory tins wey tins dey compulsory tins dey compulsory tins dey compulsory tins dey compulsory tins dey compulsory t	positive
amazing film must see	positive
I really like dis show. All the character dey great and I dey like to dey watch. Hope sey e go stay around for more season. I dey wait for the next season!!!	positive
Working from a script by playwright Darci Picoult, Dosunmu fashions a tale wey dey real, melodramatic and culturally specific (we dey spend as plenti time oglin colorfully patterned dresses as we dey admirin Gurira's endless expressive face), yet unmistakably archetypal.	positive
great film	positive
No word wey go describe di power of dis film and im reminder of how fortunate e be to neva live through civil war. Extraordinary tori wey go tell us tragic, recent Nigerian history and di humanity wey dey inside am	positive
E dey fine	positive
Rational representation of di Igbo. . . Lion heart represent wetin e really mean to be Igbo - hard-working and communal system of living	positive
Plenti mediocre acting dey here and e dey and some things wey make little to no sense for me but overall I enjoy am for wetin e be. I probably no go watch am again but to see am once dey nice	positive
As di theme for here dey redolent of neorealism, di filmmaker no dey make ostentatious nods to cinema past. Dia voice na dia own; di camera dey mobile wen e need be, but stand still much of di time, make di excellent cast dey build dia character as di events of di film dey test dia endurance.	positive
Funny Funny Funny . . . Oh mehn, dis film dey funny. If you dey find film wey go make your mind come down, na so e be for you.	positive
Superb movie!! . This one don get to be di best film wey dem fit make kom out of Nigeria, no be to mention hilariously funny	positive
BEAUTIFUL AFRICAN WOMEN	positive
I no know on which basis pipo don give dis film dat kind low rating but believe me afta a long time I don watch dat kind good, cute, clean and beta dan Bollywood film	positive
Di picture quality of dis film dey great, and di director do beta job	positive
Outstanding performance. . . Temi Otedola performance really amazing. I thoroughly enjoy di layers wey di tori get and di way wey dem reveal all di key piece of information	positive
A major step in taking back our narrative . . . dis film, don really show deep side of di struggle of di pipo wey we dey always ignore. E dey easy to see person to judge, but wen dem dey tell dem tori like dis you start to look evribodi wit a different lens. The end, though abrupt keep you in a limbo and hold you in a powerful suspense dey think on top wetin you just see.	positive
Na almost every minute of the 2hours 30minutes wey dem take play for Africa film dem dey play .	positive
A rare tori about di value of family from a very distinctive perspective. Eloquently interpreted wit perfect casting	positive
For years wey I don dey hope say Nigeria go produce really great film, and na di Esiri brothers kom inside.	positive
True true dis film dey really good production wise and di sequel. Chills kom from top notch acting	positive
Hardly period of 5 minute dey for dis film wit nothing to smile, chuckle or laugh about. I no think say Nigerian film dey wey beats dis in it's genre (Fictional Comedy).	positive
Good Nollywood Romantic comedy . This film dey cheesy enough to make you smile afta bad day	positive
The only thing wey I no like about this film na because e no too get interaction with Nigerian or Indian people . . . .	positive
Di tori start slow but stick wit am. Very good tori	positive
King of Boys. . . dis series dey fantastic, from di story line to di cast, costumes and di emotion wey di protagonist portrayed. I sure proud say I be Nigerian for dis time.	positive
A must see for evribodi. . . Namaste wahala na masterpiece and officially cross between culture. Dis Nollywood Bollywood collaboration get evritin for good romantic film suppose have, di indian actors weré all great and play dia roles perfectly.	positive
Realistic, entertaining and all round good vibres. I fi watch am evri day. I wish say dem go air more dan once a week though, apart from dat, e just great. Most reality show kom off as scripted but no be dis one.	positive
For Nollywood scale I go give dis film an 9 bikos of it's unique storyline and excellent production wey dey set am aside from oda Nigerian movies	positive
Good tori line . . . . Na good film and storyline. Love am	positive
No be wetin tok; . . . dis film give me goose bumps I connected in a way wey literally tore my soul. Indeed describe God how and how e suppose be God bless di writer, producer and all di actors too dey top evribodi do fantastic job.	positive
I enjoy di relationship wey dey between Mr. Tayo (Bimbo Manuel) and Ejiro (RMD),	positive
One thing wey I like about di film na di way dem tell di tori and di way di actors interpret am. Di writers, directors and kinematographers deserve di applaud for dis effort.	positive
The best Christian Movie!!! . . I like dis film well well . The film fine well well and the storyline fine well well. Kudos to di whole cast and crew na must watch! . . P. S. You'll need kain.	positive
I love film , the actor dem , the director dem etc. Everybody make am well well wit dem acting skill . . . Anybody wey see am bad no know film wey good and e fit no know how to do things with our culture dem.	positive
Awesome . . . The film dey fine wit fine character dem. I like to see Bisola for movies, she dey good	positive
E fine well well , e fine well well , e no too big story . I just start to think about wetin I go do to look the film .	positive
I really enjoy dis film. The acting and story line dey really good. I find am to dey very interesting to dey wonder about Ishi's life - dis na eye opener for plenti pipo wey dem force to enter marriage	positive
Gabriel Afolayan dey class of hin own as actor; hin dey always understand di task	positive
No be bad as dem review am	positive
Great film and great action . . . . Great tori original great action and great comedy all combined for one thrilling film and great cast	positive
A well-acted, finely wrought epic wey nevertheless struggle to balance di requirements of melodrama wit hin drive to capture a historical moment	positive
Awesome . . . . The first time wey I see dis film I dey blow away. I no want sound crazy but I dey try study things for dis world. I hope to see a second installment wit di same character and a darker plot.	positive
Amazing. . I dey always flick pass dis one, but honestly e dey amazing tori. Una fit tell am say e get low budget, but di way and screen play dey fantastic! The choreography of di fight scenes lack a little	positive
My family and war dey sweet me well well . . . I dey recommend this film witout reservation	positive
Wow . . . dis film really make me change my relationship for di best. Great film. The film start off slow but e definitely keep me interest. The flash back really make di end even more intense bikos everything kom togeda.	positive
People no go ever learn if dem no even try am . . . This film dey tackle plenty problem wey big pass identity crisis for black men	positive
Through economy of exposition, Eyimofe( wey dem translate as “This na My Desire”) dey give a timeless, universal portrait of human resilience while dem dey establish Arie and Chuko as a welcome new addition to di filmmaking brood.	positive
Gold Statue fit no be one of Tade Ogidan best work, but e rank up there	positive
nice movie . . . Great tori line. E worth to watch. I go recommend am	positive
I dey happy to see am . . . . The Delivery Boy dey very refreshin, a beautiful tori wey dem tell you brilliantly	positive
If real Caliphate get problem with am, change or abbreviate di name, abeg Great cast!!! Great writing!!! Great visuals. :)	positive
great movie . . . I no fit for di life of me understand di low review for dat kind remarkable film. Dis series too good dat I binged di entire series as a Medical Student.	positive
Di production dey great a d light years ahead of most of di sub-par movies of African cinema. Dis film na really a great step in di right direction for Afican cinema.	positive
Entertain live concert wey dey show lively arrangement of jazz and pop standard and beta orchestra	positive
Di return of di king dey glorious	positive
Better work be dat !	positive
Hear well crafted, highly personal tori wey dem yarn wit superb acting	positive
Even though sey na one of the film wey better pass for 2017 , Isoken na big film wey dey show how people for the country take dey live their life . The way dem dey arrange am , how dem dey film am , how dem dey color am and how dem dey dress well .	positive
Great watch. . . great movie! I happy say dem promote Igbo language	positive
"Hand-held camera chases, emotionally fraught close-ups, arresting compositions and script wey give a familiar tori a distinctly African flavor make ""Òlòtūré"" thriller wey you no only endure but marvel ova and embrace"	positive
You need to watch this kind thing!!!!! . . must watch!!! I love the character The plot	positive
fantastic film	positive
I love you - I get pikin	positive
A great piece of work by Kemi Adetiba, di tori dey well scripted, good kinematography, all di actors give a great performance. Dis na world class film... Kudos to all di crews	positive
Powerful film of a totally forgotten episode for history; no be for di faint of heart	positive
great film - entertained and educated	positive
serious drama wit subtle comedy, my type	positive
Wow, dis na true tori! Wow! Amazing . . . Wow dis tori! The plenti plenti tori of di Black experience for Africa diaspora, and for all di generation. I dey happy say awa Brotha share im tori and get to write, direct, star in. And Damson wow, im acting dey always amazing.	positive
Impressive and funny how dem portray both culture. I dey entertained all through! clean cut production	positive
Good delivery . . . . The film na wonderful delivery of di sexual assault to university female student by some lecturer. E dey pass the message in a simple way wey we no fit predicate end however, some misses wey we fit forgive	positive
Amazing . . . I like the show if pure culture even for the music. E fine to see the people wey make me watch nollywood movies again. All round dey sweet and e dey funny well well..	positive
Fantastic series from Nigeria . . . I like dis series. Great scenery. Fantastic acting. Everybody dey give dia A game. Di jokes dey natural and dey very relativable. E dey educative as well	positive
Hits di right note. . The language na Street, di cast stellar, cinematography and editing dey on point. E get great plot too.	positive
New pandemic wey fit apun again!. . . e be brilliant film and e dey real about wetin really apun. E better pass the film Contagion wey dey my book. E really near house for me. E be one of di first serious pandemic for my life. I go really like to buy dis film for DVD and I don dey look for US but nobody fit tell me how? Thank you	positive
How dis kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin?	positive
Lionheart na one fine movie wey be like dis . . . dis film be di best Nollywood film wey I don see so tey. Evri scene dey precise, fine and wit a touch of humour and moral lesson. I like say Nigeria dey well represented.	positive
I like season 2 . . I like season 1 and I no fit wait for season 2. I like all the character dem so hopefully una go continue to dey bring for di new series	positive
"Na 2hours film I suppose no call entertainment but moment of empowerment. If I dey get doubt, my conviction go better.. I fit connect wit di film bikos obviously, I don see sey God touch me before . . I dey tok say “ yes"" again to God call."	positive
E almost portray di abuse wey plenti female student dey face for Nigerian university dem and for west Africa	positive
E get color and detail but e dey sweet me no be di word . . .	positive
Kunle Afo film wey dey impact pass na one topic wey dey important for Nigeria Education system. Good story line, interesting plot, fantastic acting. Dis film na one of di best topic wey you go ever watch on top gender base violence for Africans higher institutions. Just enjoy am and sign your unbiased review. E dey cool one	positive
Brilliant Movie . . . just watch Lara and the Beat for Netflix. Dis film dey wonderful. Beautiful cinematography, for point acting, a great tori, nice music and wholesome entertainment wey di whole family fit enjoy	positive
Refreshing. . Loved evritin about am. The culture, language and music fine	positive
Di kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin.	positive
Na well paced movie, filled wit properly fleshed out characters wey dey operate for a plot structure wey no fall apart. Dem bring di film o life wit aesthin aesthetic and masterful kinematography. Di tori, although e no dey phenomenal, dey good enough to keep you gled to your seat while you dey impart a thin or two about di subject matter.	positive
"I watch ""Fifty Series"" season 2 and I kom up for Castle & Castle bikos of Tola face dey familiar. I love dis series and I go like season 2 to kom! I just hate say if I leave me hang for the last episode, like season 2 wey go kom, so please give us season 2!!"	positive
Terrific film! . . . Dis na intense, heartbreaking family drama wit excellent script and star acting performance	positive
light and funny!. . E dey comedy gold wit plenti plot-line. From di sisters to di villains, dis na must watch! No be di mention wey dey surprise di fantasy elements and great special effect wey dem recommend Highly	positive
Dem take risk but dem do di execution from production to acting well.	positive
Farming fit no be di best-executed tori, but wit captivatin performance by Damson Idris, nevertheless, e still be tori wey we suppose tell	positive
SUPERBLY REFRESHING!!! . . . Everything about this film just dey on POINT! The story line, character and directing down to costumes. I really enjoy am!! My popcorn dey out in minutes! Love love love! Please make more movies!!!	positive
The only thing wey I no like about this film na because e no too get interaction with Nigerian or Indian people . . . .	positive
Amazing movie. . . I like to dey watch dis film wit hin fine plot, screenplay directing and Dakore and di cast delivered so well on top di acting. awa culture and heritage dey fully represented.Oscar worthy if e dey indigenous category	positive
fantastic movie!!! Wow wow. Nollywood don ascend	positive
Brilliant . . . good tori line wey go need plenty attention. But overall, dem dey do well for the film	positive
Big Movie wey kom from Nollywood . . . Lionheart no just dey written bikos of am. E portray plenty things wey dey go on for Nigeria sotey e go take one wit deep mind and open mind to see through di film.	positive
Dis na by far di best production from nollywood! E dey look more like African American film. Di acting dey top notch and to find out na di lead actresses first film, thumbs up.	positive
Something like Shakespearean comedy, full of highly amusing, sharply drawn characters and offering wicked insight into how identity dey shaped by city livin and immigrant culture clash	positive
Nigerians wey dey Brooklyn . . . . This na amazing film wey dey suspenseful, wey dey thinkful and wey get color	positive
Temi Otedola do amazing job	positive
Thank you for a perfect example of how HE dey work for awa lives: Dis film na gut-wrencher, dey remind us how hin dey work through imperfect, repentant pipo wey dey only call to obey am. E dey do di rest. E dey faithful to complete wetin hin don start.	positive
Stroyline fine well well . . . The plot twist na evritin. Suspense filled. Gripping and interesting. E touch plenti on top di importance of communication for relationship. I go see am everytime	positive
I love dis film! I don watch am plenti time. I hope anoda one dey for di work	positive
Modern Nigerian Classic . . . . Nollywood really get political/religious/tribal gem for here for people wey dey try to know wetin the main sickness wey dey this world be , and for this small community for Nigeria today , e dey pain well well . . . .	positive
E dey sweet you to watch especially if you understand the Igbo language but e dey really good and interesting film .	positive
Dis film dey feel like mish mash of under-developed ideas wit half hearted romance thrown in. E no dey sure if e wan be comedy or satire.	positive
Genevieve Nnaji don prove yet again wen she still be di best Nollywood actress of all time wit her directing debut we fit only tok more grease	positive
One film wey capture a nation hope for better cinema . . . One fit only wish say oda Nigerian filmmaker go build on top di same ground for a brighter Nigerian film future.	positive
I dey sensational. . . dis make me dey feel proud say I be Nigerian. Storyline aside, di performance of each character wEré phenomenal and I really capture my attention	positive
I dey try find soundtrack and review for the end of the film . . . . soundtrack no dey for the background . I dey try find the name of the film . . . Apart from that one , big film no easy at all . To dey do am no dey real . No be wetin dey make sense or anything like that . The way we dey talk , wetin we choose , the evens , the chemistry be like normal thing as you dey watch one real situation.	positive
My number one na Nigeria sci fi film wey better pass . I like the film, e dey among the type wey I like pass . I dey happy say I dey wait for Nigeria to dey show more film . . . And my advice for us wey be Nigeria na to dey support this film so that dem go fit dey bring and produce better film wey we choose to watch.	positive
Kemi Adetiba's King of Boys dey exceptional. From di selection of cast to di well executed story line, dis film no dey short of excellent. Di thrill, plot twist, humor, unpredictability dey unmatched	positive
Perfection . . . Someone suppose help me find mistake for dis film bikos I don watch am four times and I still no fit find one.	positive
Dis film na true tori and e dey absolutely brilliant and moving	positive
A Refreshing Nigerian series. . . like a refreshin Nigerian series wey dem go watch witout di awful music wey dem dey play for all di film. But I no like say Netflix just dey do season 1, I no like dem and dem no dey see dem season 2.	positive
If na food I go talk sey na mouth watering . . . I no go know where the film wey dem talk about go start . Dem pick the people well and show sey dem be like that . The place no be new everytime , even though sey the kind good university wey dey Senegal , the arts and craft of our African leaders don comot from the African identity . . . . . . the message wey dem talk about for this film dey special , senseful and artistic .	positive
This film na big film . E dey simple and e dey make two boys ( wey no sabi am well well ) come dey gather together as people wey don grow . So , e no be like anything wey I never see before .	positive
I really like film wey fine well well . I love my Nigerians . I still like better story wey fine well well .	positive
Beautiful, beautiful, sad and necessary	positive
My Village pipo deliver fantastic special effect, and dem no dey over di top. One of my favourite special effect na di rain. Di technical crew deserve special recognition for dia skills for dis film	positive
History, Thrilling, Educative and Awesome	positive
Dis na my favourite Nigerian film. Really enthralling debut feature	positive
I deeply appreciate to see film wey get emotional bond between two sisters wey dey connected for many ways, but disconnected by romance and political views. Di film actors dey superb and each character dey perfectly cast for dia roles.	positive
E dey hard you to believe some of this things because you know sey the film na true story . E fit be sey some scenes dey for the film wey dem dey call Theatrelict . But the film dey come from some place wey dem dey call Theatrelict . . . .	positive
Na nice, wholesome movie about Love, Faith, Family and temptations of di world .....was a bit cheesy, but I enjoy am. Fell in love wit Mawuli Gavor and I go watch am again just to see am..	positive
The film fine well well wey talk about things wey happen for Benin kingdom . . . . The film no easy at all and e no easy at all to watch am . I still dey surprise sey dem do am for 2014.	positive
Great concept . . . . creative storyline wit talented actors. E too much wit some of the flashbacks but e still dey very interesting for everywhere	positive
so cool . . . dis dey so chilled. dis film dey funny and enjoyable from di start. I neva see any flaws to am, maybe di introduction na small corny, but na so taste am. dis film dey light but meaningful.	positive
KOB na Number 1 Nollywood film to me right now. Di tori dey different and genuine. Unveils wetin dey go on for politics for real	positive
Dis na beta movie. I go recommend am to anyone	positive
I love dis film . I go enjoy to dey watch am for many years before e come and the talk wey e go spread . . . The thing dey normal even if e no dey melodrama and e dey believe me well well.	positive
Love dis film	positive
A BRILLIANT MOVIE WITH A FEW PECKS	positive
Di tori dey very unique and unpredictable unlike an average Nigerian film.	positive
A must see, very interesting tori and well acted, great collaboration wit Hollywood and Nollywood actors. I thoroughly enjoy am	positive
Fresh POV. No be di kin cinema wey we dey use for di western hemisphere, but di production highlight no be only tori wey we go develop, but also di color and culture of di region wey e take place	positive
"""Citation"" dey work best wen e hovers in di infuriatin skepticism hurle at im young protagonist as she dey make her case, and e dey unclear whether di system go work for her favor until di final, unnerving act."	positive
For one film wey be like say e suppose be mini-series, we dey follow one relationship, wey dey grow into a family, ova di course of 20 years in Nigeria.	positive
Last last, good one . . . a solid entry from di stables of Ayo Makun wey combine real comedy wit love at heart.	positive
Di best Nigerian film wey I don ever see dey amazing! E dey veri creative and e no dey predictable. I love how di tori line dey current and e dey relate to wetin dey apun for Nigeria for dat moment. Di acting dey great - Sola Sobowale na legend	positive
E be superb piece of work: fresh, harrowing and very humane	positive
Good series. I dey really impressed wit dis series. E dey captivating and entertaining	positive
I like this film well well and I still want make e continue when season three and four start .	positive
Na wetin be di reality of to be first pikin for affluent African house . This film na di reality of the struggle of to be female for man wey dey control Africa.	positive
wonderful tori . . . The film get plenty moral lessons. Great role interpretation by Zainab Balogun. If una don lose una way, dis film na wetin una need to re-direct una path to God	positive
Provocative if slightly plodding film	positive
Technically, di sound dey very good, and camera angles and techniques dey unusual and interesting.	positive
The film wey better pass for Nigerian time , really touch Nigerian culture and the film industry .	positive
I no fit imagine wetin e don do for hin pikinhood . Im transformation dey remarkable for final end e go show who Enitan be, and I dey shock by di revelation. E go bring di film to anoda level of emotional climax	positive
Incredible movie, great rendention and good tori line	positive
Romper Stomper wey get twist and wey get masterpiece drama . . . . . best skinhead cultural film wey dem do for many years if una like film like Romper Stomper, Dis na England, A Clockwork Orange.. una go like dis one and if una like well drama too.. actors first film dey produce and from peronal experience too....excellent work mate wey love am so sad dat people go down grade dis masterpiece for art form from one personal view, from rookie wey dem dey make movies to enjoy folks....	positive
For this world wey dem dey force women to dey look better pass dem , and dey live above their money , this show na big tool wey go help dem fit know how to arrange their money well and wetin dem go gain if dem delay gratification . Oh , and e dey sweet me too! I no know wetin dey happen to the music production , but e be like sey na all the same song dem dey repeat for everi episode.	positive
Di use of proverbs, innuendos, and play on word, dey provide plenti memorable one liners and quote wey go remain on our mouth for a long time. We go quote di lines and recall di pleasure of watching dis series.	positive
Good for first.. . Plenty straightforward plot wey no dey give new thing, save say na di first Nigerian Christmas theme film. The casting sweet	positive
Dis na film about one age comedy/drama wey go kom about one young boy wey want fix things wit im hand instead say e sitdown for cubicle, I think say dis na just to celebrate how dem dey do things for Africa, and how kids dey learn to dey humble.	positive
Citation dey delivers to dey give us logical representation of wetin dey apun for di real world to a large percentage of di youth, students, and more dose of di female gender.	positive
crazy,Lovely,Cool. . . my favorite Nigerian actress Adesua Etomi-wellington bring me go dis television series and I no disappointed, e dey sweet me to see good acting, really good writing on top to see am, all di main character dem get substance and e no pass di top cliché character dem, each episode fit stand on its own wit plot twist and reveal, if anybodi dey look for good binge watch you no fit go wrong wit dis Nigerian gem	positive
Na pity, bikos dis fit dey very interesting. But as e be, na total amateur hour	positive
I like am well well from the stables of Hollywood movies wey dey kom from , no be waste time	positive
Na true sey na this Nollywood Production be the main thing for my life !	positive
Amazing Movie . . . one fine story wey dem talk well and wey dem portrayed. Everything from place to makeup, cast, costume, even language and di showcase of culture just dey breathtaking.	positive
Super Recommended! 'Gold Statue' na Magnificent Excellence. E promise a mountain of fun. And wit dat mountain, rivers of quality kom and a avalanche of Perfect acting performance. Dis film is worth evri penny wey you go spend and more.	positive
Hand down di best Nigerian film wey I don ever watch..	positive
E good but Kinda Cheesy . . I like dis mystery wey dem dey call murder wey kom from Nigeria . . The plot dey thick and e dey readable part way, but e dey enough to keep my interest.	positive
Interesting . . . Dis film dey interesting from start to finh. The act na world class	positive
Wetin e mean to be Nigerian.. . . well done Genevieve Nnaji: a movie wey everybody go see. Kudos Naija, dey continue to dey improve	positive
Na only one problem	positive
Lionheart na solid film wey effectively portrays sexism for workplace for Nigeria. E dey very straightforward, highly predictable and e dey quite weakly directed by Genevieve Nnaji. But for di opposite side of things, her acting performance dey terrific, and she successfully elevate both di character and di general material. Di film dey cliched, but charming. E go don be perfect potential candidate for di Academy if dem no stupidly eliminate am bikos dem dey film am for English language.	positive
Mind blow!!!! . . Na one of the film wey I never watch before be this! I LOVE am!!!!!	positive
A wonderful film experience! Substantial storyline.. The suspense go keep you on your toes, and the comic relief go make you chukle. E dey worthwhile	positive
If to sequel good but remake , e go better for person to build better story . . . I must say I dey praise di director and im act too ( Ramsey Nouah).	positive
100% on point. So correct n play well. Evribodi dey fantastic. Makes one proud ure Nigerian	positive
E dey beautiful to see Sam Dede for awa screen again, and to see say hin still be master of hin craft, dey give us a stellar performance. Where Stella Damasus dey, una fit dey sure to see some genuine tears, wit emotional scenes, and she dey ageless	positive
Perfection . . . I no fit even tok more. I dey short of word	positive
Interesting how open di characters dey tok about dia relationship and wit restraining anger durin dat kind emotional circumstances	positive
E dey interesting to actually find out how dem take write di hymn Amazing Grace	positive
Dis film really touch my heart in regards to God's AMAZING GRACE! A MUST SEE!!!	positive
No be only say di plot fail to grip di viewer's attention, but di act na di poorest, most unconvincing ever	negative
Dis film dey long and dull. Even di background music dey tepid. And nothing fit do to save di film	negative
Better way to completely ruin your day	negative
unsettling	negative
Di subjects for Swallow go make anyone cry - poverty, sexual harassment, drug dealing, systemic corruption - but di film and all di character dey flat and emotionless	negative
Even say di central performance dey impressively raw Farming's uncompromising bleakness don drop out di fascinatin tori, making am a far tougher watch than e need be	negative
Story inconsistentcies and di mystical balderdash too dey apalling to dey save	negative
One single person no dey insult dis as we troop out. Even cinema staffers wey no pay dey hiss	negative
Also powerful and uncomfortable, Farming na strong reminder of di dangerous length wey self-loatin fit lead to.	negative
A terrible way to start di year; ' Akpe' na mess	negative
You fit no hate yourself as you dey see 'Superstar' but you go dey feel numb and comatose	negative
E go dey unfair to di entire cast and crew if I leave dis one out.	negative
Like oda misguided projects like it, dem make 'Knock Out Blessing' primarily for di purpose of massaging hin producers'ego instead of to please hin Nigerian audience	negative
Akinnuoye-Agbaje's slightly numbed screenplay neva get to grips wit who Eni be	negative
Dem spend fifty minute dey advertise one holiday resort for Lagos, Movie don close. Money down di drain no recommended	negative
dat kind shame really; ' The Island' na waste of amazing talent	negative
if I tell you say dis na spectacular film, I go dey lie	negative
Its lateness aside, di real problem wit 'Funke' be say e dey boring and unexcitin	negative
No recommended! Crispy dry and terribly banal	negative
Ultimately, dis na crappy offer wey dem no suppose bring go cinema	negative
Production dey fine, above average. Colour sharp. And acting no dey horrific. Di problem na di complete lack of intellectual strength for di tori and di tori-telling. A quick example go suffice	negative
di amount of felonies wey dis 6 year old committed ova di course of dis film bikom too many to count	negative
E dey good for 14 years old ones wey dey play like clean Disney tori. Limp and vacuous	negative
funny touches and moments of freewheelin energy dey, but e too wide, wit acting and directing styles wey be like afternoon TV	negative
Average. . The plot too short and predictable	negative
But unfortunately, dis shining moments just to few and far between for dem to justify say dem dey pay serious moni to see dis	negative
more ova di drama wey dey between Joseph and hin wife dey play naturally but I feel like dis na more documentary den a movie	negative
Consequently, rhythms of long and short hisses echo intermittently from di audience	negative
Nobodi suppose watch this shitty film	negative
snooze fest, no plenti tori, ridiculous soundtracks	negative
add horrible ADR, and average to really bad acting, and u get — a nightmare	negative
E no dey go wholly wrong all at once, but damned if di filmmaker no lose di thread and stumble and lurch and pad dis thin until dia Nollywood film na Bollywood length, witout di wit, warmth or content to justify am	negative
Grotesque and sub standard. Boring and downright stupid	negative
Fear first feature film, but e show plenti promise	negative
Concerning dis popular film #KOB I no fit tok say e better or worst pass di rest of nollyhood,	negative
Make for Heaven na stupid film. E dey stupid, e go irritate you to di point wey you go start to dey laugh out of sheer frustration. You go grow so weary to see am, you go suddenly find yourself feeling as though say you fit dey enjoy di foolishness of dis foolish film. Very ridiculous film. Complete rubbish	negative
Slow moving, great acting and get few chills but di end dey unforgive	negative
If that kind heavy breeze no dey , make you no use this ‘Dagger ’ take put your wallet for the heart .	negative
Wen I tok say di drive for comedy na to dey turn awa content to shit, dis na prime example	negative
If you watch Chief Daddy: Going For Broke on di New Year Day release for Netflix and immediately think am say e go be contender for di worst film of di year, know say di fault no be your own;	negative
Lazy and depressing	negative
snooze fest, no plenti tori, ridiculous soundtracks	negative
